cobissId	title_en	description_en	country	publisher	year	topology	journal	journal_impact_factor	journal_mean_value
10376987	Numerical and experimental investigation of a single stage centripetal pump	In the present paper a numerical and experimental investigation of a single stage centripetal pump (SSCP) is presented. The SSCP was designed using CAD and CFD tools. The performance curves of the SSCP were measured in a test facility with water involved as the working media and compared with the calculated ones. The measured performance curves are characterised by the region of hysteresis since the throttle closing performance curves do not correspond completely to the throttle opening performance curves. The deliveryhead and efficiency are abruptly decreased when reducing the flow ratefrom the point of the maximum delivery head. Due to the evident analogy ofthe SSCP and the axial-flow compressors performance curves and similarities in the rotor design it can be anticipated that such an operating behaviour of the SSCP is caused by the rotating stall phenomenon. CFD simulations confirm that the stalling of the rotor passages causes the steep delivery head drop when decreasing the flow rate from the point of maximum head.	deu	VDI-Verlag GmbH	2008	1.01	Forschung im Ingenieurwesen	0.170	0.986
10377755	Heat transfer influenced by turbulent airflow inside an axially rotating diffuser	The paper presents a study of heat transfer between the turbulent airflow and the inner wall surface of an axial diffuser rotating around its longitudinal axis. Heat transfer was assessed through the measurement of a time-dependent temperature field of the diffuser inner wall surface. Measurements of the instantaneous flow velocity components were performed by a laser-Doppler anemometry system, which delivered information on mean velocity components as well as on the turbulence intensity. A significant increase of all three mean velocity components was observed near the rotating diffuser wall in comparisonwith a non-rotating diffuser. Temperature field measurements were carried out by means of infrared thermography. The experiment showed a significant dependence of the temperature field on the turbulent flowfield induced by diffuser rotation. A strong influence of the flow separation and reattachment on the temperature distribution was observed, while rotation was found to suppress the occurrence of flow separation from the diffuser wall. Properties of the velocity field such as turbulent kinetic energy were directly coupled with the temperature distribution in order to gain the information on how to enhance or reduce heat transfer by changing the integralparameters of the diffuser (e.g. rotation frequency or amount of flow).	nld	Kluwer Academic Publishers	2008	1.01	Flow, turbulence and combustion	0.776	1.21
1037927	Shear modulus and stiffness of brickwork masonry: an experimental perspective	Masonry is a composite non-homogeneous structural material, whose mechanical properties depend on the properties of and the interaction between the composite components - brick and mortar, their volume ratio, the properties of their bond, and any cracking in the masonry. The mechanical properties of masonry depend on the orientation of the bed joints and the stress state of the joints, and so the values of the shear modulus, as well as the stiffness of masonry structural elements can depend on various factors. An extensive testing programme in several countries addressws the problem of measurement of the stiffness propertries of masonry. These testing programs have provided sufficient data to permit a review of the influence of different testing techniques (mono and bi-axial tests), the variations caused by distinct loading conditions (monotonic and cyclic), the impact of the mortar type, as well as influence of the reinforcement. This review considers the impact of the measurement device used for determining the shear modulus and stiffness of walls on the results. The results clearly indicate a need to re-assess the values stated in almost all national codes for the shear modulus of the masonry, especially for masonry made with lime mortar, where strong anisotropic behaviour is in the stiffness properties.	kor	Techno-press	2005	1.01	Structural engineering and mechanics	0.432	0.644
10380571	Modelling of residual stress profiles in plasma nitrided tool steel	Residual stresses may be present in engineering components as an unintended consequence of manufacturing processes, but they may also be introduced deliberately to beneficial effect during surface engineering procedures. Plasma nitriding and nitrocarburizing are such processes of particular importance for tool steel components used in tool, die and machine applications. These processes afford significant advantages, such as greatly improved wear and corrosion resistance, as well as fatigue strength resulting from the generation of near-surface compressive residual stresses. A precise knowledge of the level and distribution of residual stresses that exist in such engineering components is necessary for product development and quality control purposes, as well as for the accurate prediction of fatigue resistance. If located at the same depth as the Hertzian stress concentrations, compressive residual stresses can greatly improve the fatigue properties of loaded surfaces. Therefore, reliable methods for residual stressdetermination are required, with residual stress measurement techniques having their limitations. The aim of the present paper was to correlate the residual stress distribution in plasma nitrided and nitrocarburized H11 tool steel with the microhardness depth profile, in order to determine whether a relatively simple microhardness-related parameter could be used to predict the depth of the maximum compressive residual stresses, and to thereby enable optimization of the nitriding parameters for specific contact conditions.	usa	Elsevier	2008	1.01	Materials characterization	1.225	0.704
10383126	Primarni uèinak praškastog i tekuèeg deterdženta u pranju	The assessment of detergents and washing processes must take into consideration the primary and the secondary effect. The influence of powder and liquid detergent concentration on the primary washing effect was studied in this paper. Cotton and polyester/cotton fabrics were soiled with coffee, wine, cacao, blood, oil, lipstick, ketchup and shoe polish, and washed with powder and liquid detergents at 60 °C. Washing effects, as well as whiteness, were estimated by remission value of soiled and washed fabrics. Wastewater quality parameters were anlysed by pH, AOX, the quantity of anionic surfactant, chlor, COD and BOD. Powder detergent was assessed as the better one for these soilings in the wash conditions. Quality parameters of wastewater after washing with liquid detergents completely fulfill the requirements of national regulations in Slovenia and Croatia.	hrv	Hrvatski inženjerski savez tekstilaca	2006	1.04	Tekstil	0.085	0.597
1038331	Partialization of categories and inverse braid-permutation monoids	We show how one can use the partialization functor to obtain several recently defined inverse monoids, and use this functor to define new objects, which we call the inverse braid-permutation monoids. A presentation for this monoid is obtained. Finally, we study some abstract properties of the partialization functor and its iterations. This leads to a categorification of a monoid of all order-preserving maps, and series of orthodox generalizations of the symmetric inverse semigroup.	sgp	World Scientific	2008	1.01	International journal of algebra and computation	0.421	0.705
10383894	Object grating method application in strain determination on CTOD tests	Standard fracture toughness tests require standard specimens with the presumption that mechanical properties are uniform in the crack growth direction. Standards for crack tip opening displacement (CTOD) fracture tests prescribe remote crack mouth opening displacement, which can lead to inadequate results in the case of heterogeneous materials properties. This paper describes the application of an object grating method (OGM) on the fracture behaviour of a heterogeneous specimen. Fracture behaviour is described by measuring deformation on the surface of a specimen, in terms of CTOD and, consequently, by strain determination. An OGM is advantageously usedwhen measuring modified CTOD tests on two specimens with an initial crack in a macroscopic heterogeneous welded joint. Results significantly show that fracture behaviour depends on the material in the vicinity of the crack tip concerning the direction of crack propagation.	gbr	British Society for Strain Measurement	2006	1.01	Strain	0.535	0.571
10384392	Correlations between ERP parameters and intelligence	The present study investigated differences in ERP parameters related to intelligence. For that purpose 74 individuals (Intelligence: M = 107; S.D. = 12; range 73-135), of average creativity passively listened to two tones and performed two auditory, and two visual oddball tasks while their EEG was recorded. The approximate entropy parameters, peak latencies and amplitudes were determined. The correlation coefficients indicated that in the attended conditions, the more intelligent individuals showed more regular ERP waveforms than less intelligent individuals. It was further found that less intelligent individuals showed increased P300 latencies and reduced amplitudes. The differences were explained with a more specific engagement of neural networks in more intelligent individuals	nld	North-Holland Pub. Co.	2000	1.01	Biological psychology	1.500	2.193
10389782	A study of treating textile wastewater after reactive dye printing by using nanofitration	A synthetically-prepared reactive dye printing wastewater was subjected to nanofiltration. Except for the dye type, the basic composition of the synthetic wastewater was similar to wastewater obtained from a local textile factory in Slovenia. The dyes used were: C.I. Reactive Red 24 and C.I. Reactive Black 5. The filtrations were carried out with two nanofiltration membranes (NFT 50 and DL), which were evaluated for membrane fouling tendency, permeate flux, and their suitability in removing salt, colour and COD. All filtration experiments were conducted in a plate and frame module. For both the NFT 50 and DL membrane the permeate flux did not increase linearly with pressure due to concentration polarization. However, at all pressures the permeate flux obtained with the DL membrane were higher than with the NFT 50 membrane. The retentions, observed at transmembrane pressuresranging from 2-15 bar, showed that the highest retention values wereachieved at 10 bar. The best separation efficiency was achieved with NFT-50 membrane where permeate samples were practically colourless. The low retention of COD for both membranes was explained by the fact that smaller organic molecules such as urea, rapidoprint (nitrobenzene sulphonate) are not retained by the membrane and therefore contributes to high COD values in the permeate.	hrv	Hrvatski inženjerski savez tekstilaca	2006	1.01	Tekstil	0.085	0.597
10390294	Non-Newtonian fluid flow through a planar symmetric expansion: shear thickenning fluids	The incompressible non-Newtonian fluid flow through a symmetric sudden expansion is studied numerically in order to obtain Reynolds number critical value. The Quadratic model is employed to accommodate the shear-thickening behavior of corn-starch and water mixture. Numerical procedure is validated with results for the Newtonian fluid flow in a range of the Reynolds number Re=10,20,.,100. Results for the non-Newtonian fluid show that the shear-thickening behavior lowers the threshold of the transition from flow symmetry to its asymmetry (lowers the onset of the bifurcation and the critical value of the Reynolds number) and increases the reattachment length. In addition, the results for the Quadratic model are compared to the results obtained with the Power law.	nld	Elsevier Scientific Publ. Co	2006	1.01	Journal of non-Newtonian fluid mechanics	1.449	1.092
10391062	Comparison of performance of Web services, WS-security, RMI, and RMI-SSL	This article analyses two most commonly used distributed models in Java: Web services and RMI (Remote Method Invocation). The paper focuses on regular (unsecured) as well as on secured variants, WS-Security and RMI-SSL. The most important functional differences are identified and the performance on two operating systems (Windows and Linux) is compared. Sources of performance differences related to the architecture and implementation are identified. The overheads related to the usage of security and the influences of JCE (Java Cryptography Extension) security providers on the performance of secured remote invocations are identified. Finally, the impact of distributed model s on design and implementation of distributed applications is identified and guidelines for improving distributed application performance in design and implementation stage are provided. The paper contributes to the understanding of functional and performance related differences between Web services and RMI and their secure variants, WS-Security and RMI-SSL.	usa	Elsevier North Holland	2006	1.01	The Journal of Systems and Software	0.592	1.001
10400022	Crack tip shielding or anti-shielding due to smooth and discontinuous material inhomogeneities	This paper describes a theoretical model and related computational methods forexamining the influence of inhomogeneous material properties on the crack driving force in elastic and elastic-plastic materials. Following the configurational forces approach, the crack tip shielding or anti-shielding dueto smooth (e.g. graded layer) and discontinuous (e.g. bimaterial interface)distributions in material properties are derived. Computational post-processing methods are described to evaluate these inhomogeneity effects.The utility of the theoretical model and computational methods is demonstrated by examining a bimaterial interface perpendicular to a crack in elastic and elastic-plastic compact tension specimens.	nld	Sijthoff & Noorahoff	2005	1.01	International journal of fracture	0.705	0.96
10403929	A new construction of semi-free actions on Menger manifolds	A simple construction of semi-free action on Menger manifolds is presented. As an application we prove a theorem about simultaneous coexsistence of countably many semi-free actions of compact metric zero-dimensional groups with the prescribed fixed-point sets. Let ?$G$? be a compact metric zero-dimensional group, represented as the direct product of subgroups ?$G_i$?, ?$M$? a ?$\mu^n$?-manifold and ?$\Sigma(M),\nu(M)$? its pseudo-interior and pseudo-boundary, respectively. Then for every closed subsets ?$X_i$?, ?$i\ge 1$?, of ?$M$?, there exists a ?$G$?-action on ?$M$? such that (1) ?$\Sigma(M)$? and ?$\nu(M)$? are invariant subsets of ?$M$?; and (2) For every ?$i\ge 1$?, ?$X_i$? is the fixed point set of any element ?$g\in G_i\setminus \{e\}$?.	usa	American Mathematical Society	2001	1.01	Proceedings of the American Mathematical Society	0.369	0.48
10404379	Compatibility of DLC coatings with formulated oils	In the present study, the tribological performance and compatibility of hydrogenated amorphous carbon coating (a-C:H) and metal-doped diamond-like carbon (DLC) coating (Me-C:H) with formulated oils under the boundary lubrication regime was investigated. The investigation employed ball-on-flat contact geometry in reciprocating sliding motion and six formulated oils (manual gearbox oil, automatic gearbox oil, hydraulic oil, compressor oil, andnormal and high performance motor oil), with pure poly-alpha-olefin (PAO) oil used as a reference. In addition, DLC coatings behavior in diesel and gasoline fuel was evaluated. Compared with the uncoated steel surfaces a-C:H coatings give improved wear resistance in base PAO as well as in fully formulated oils and fuels. On the other hand, W-doped DLC coatings show the lowest steady-state friction under boundary lubrication, especially when using oils with high additive contents.	gbr	Butterworth Scientific Limited	2008	1.01	Tribology international	1.423	0.986
10404441	On Alexandroff theorem for general Abelian groups	Let ?$P$? and ?$K$? be simplicial complexes and assume that ?$K$? is countable. Let ?$T^\ast$? be a truncated continuous cohomology theory such that ?$T^n(P) \ne 0$?, for some ?$n < -1$? amd ?$T^k(K) = 0$?, for all ?$k<n$?. We prove that then there exist a compactum ?$X$? with the property ?$e-{\rm dim}X \le K$?, and a ?$T^n$?-essential map ?$f: X \to P$?. We also prove that there exist an infinite-dimensional compactum ?$X$? such that ?${\rm dim}_{\ZZ_p}X = 1$? and ?$e-{\rm dim}X > M(\ZZ_p,1)$? and a compactum ?$Y$? such ?$e - {\rm dim}Y \le \RR P^\infty$? and ?$e - {\rm dim}Y > \RR P^m$?, for all ?$m$?.	nld	North-Holland	2001	1.01	Topology and its Applications	0.280	0.48
10404635	A conceptual framework for the collaborative modeling of networked manufacturing systems	A manufacturing system is a product, and has to be designed as any other product. Therefore, a need for adequate methodological support and tools for modeling, structuring, and control of the next generation manufacturing systems is recognized. In this study, the adaptive distributed modeling framework for collaborative design and operations of network manufacturing systems is presented. In manufacturing networks, several autonomous partners participate in dynamic design of a manufacturing system, its implementation, and adaptation. In this context collaborative modeling, structuring, and control in distributed manufacturing environment play a vital role. The proposed modeling framework introduces the common modeling space and enables acollaborative definition of modeling building blocks, model design, simulation, and operations support of distributed manufacturing systems in a dynamic environment - which is the realistic nature of the global manufacturing. The prototype of the framework is elaborated in a case study.	gbr	Sage Publications	2008	1.01	Concurrent engineering	0.611	0.905
10405398	Selection of the economic objective function for the optimization of process flow sheets	This paper highlights the problem of selecting the most suitable economic optimization criteria for mathematical programming approaches to the synthesis, design, and optimization of chemical process flow sheets or their subsystems. Minimization of costs and maximization of profit are the most frequently used economic criteria in technical papers. However, there are manyother financial measures which can lead to different optimal solutions if applied in the objective function. This paper describes the characteristics ofthe optimal solutions obtained with various optimization criteria like the total annual cost, the profit, the payback time, the equivalent annual cost, the net present worth, and the internal rate of return. It was concluded that the maximization of the net present worth (NPW) with a discount rate equal to the minimum acceptable rate of return (MARR) is probably the most appropriate method for the optimization of process flow sheets or their subsystems. Similar or equal solutions can be obtained by simpler criteria of minimum equivalent annual cost or maximum profit if the annual investment cost is calculated by using the MARR instead of the straight-line depreciation method.These criteria represent a thorough compromise between quantitative andqualitative measures, because they consider the absolute terms of future cash flows of investments equally important as profitability through the life cycle of the project. The uncertainty related to the value of the MARR was considered by the generation of Pareto optimal solutions for the NPW and by the stochastic analyses of two design example problems.	nld	American Chemical Society	2006	1.01	Industrial & engineering chemistry research	1.518	0.921
10406233	On the point stabilizers of transitive groups with non-self-paired suborbits of length 2	In our recent article a characterization of transitive permutation groups having a non-self-paired suborbit of length 2 (with respect to which the corresponding orbital graph is connected) was obtained in terms of their point stabilizers. As a consequence, elementary abelian groups were proved to be only possible abelian point stabilizers arising from such actions, and ?$D_8$? was shown to be only nonabelian group of order 8 with the same property. Constructing of such group actions with point stabilizers isomorphic to ?$D_8$? or to ?$\ZZ_2^h$?, ?$h\ge 1$?, were also given there. These results are extended here to include a more in depth analysis of the structure of point stabilizers of such group actions, resulting in a set of necessary conditions allowing us to obtain a restricted list of 19 possible candidates for point stabilizers of such group actions when the point stabilizers have order ?$2^h$?, ?$h\le 8$?. (For ?$h\le 5$?, this list gives a complete classification of such point stabilizers). Furthermore, a construction of a transitive permutation group action with a non-self-paired suborbit of length 2 and point stabilizer isomorphic to ?$D_8 \times \ZZ_2^{h-3}$? is given for each ?$h\ge 3$?.	deu	de Gruyter	2001	1.01	Journal of group theory	0.379	0.48
10407452	The efficiency of entrepreneurship policy support for the intrnationalisation of SMEs	The objective of this paper is to evaluate the efficiency of entrepreneurship policy support for the internationalisation of Small- and Medium-sized Enterprises (SMEs) in Slovenia. For this purpose, the mean importance of the primary motives for entering foreign markets, as well as the barriers to entering and doing business in foreign markets, together with knowledge and expectations about governmental and non-governmental support services, were measured in the first part of this research. In the second part, the web portal of the central Slovenian institution for entrepreneurship acceleration - Public Agency for Entrepreneurship and Foreign Investment (PAEFI) - was analysed. The last part of our research comprised website analyses of institutional support for the internationalisation of SMEs, in three other selected member states of the European Union. The study highlights the low awareness and negative experiences of Slovenian SMEs with institutional support for the internationalisation of SMEs.	che	Inderscience Publishers	2010	1.01	European journal of international management	0.220	1.646
10416667	Analysis of hydraulic characteristics of guard-gate for hydropower plant	A guard-gate can be installed at the inlet of the pressure tunnel, at the down stream end of the surge tank or in the draft tube of the water turbine. A hydraulic shape of the gate and characteristics of the hydropower plant flow-passage sytem govern the magnitude of pressure forces acting on the gate structure. Flow conditions at the downstream end of the gate may require adequate air admission. Numerical analysis of hydraulic characteristics has been performed for a vertical leaf gate at different gate openings. The analysis has been performed with Computational Fluid Dynamics (CFD) code using finite volume method. Computational results are compared with results of measurements carried out in a model test rig.	svn	Zveza strojnih inženirjev in tehnikov Slovenije [et al.] = Association of Mechanical Engineers and Technicians of Slovenia [et al.]	2008	1.01	Strojniški vestnik	0.235	0.986
10416923	Vibration analysis to determine the condition of gear units	The use of the most up-to-date production technologies and a high level of production stability without any unscheduled outages are of utmost importance; they are affected primarily by monitoring the condition and by adequate maintenance of mechanical systems. Life cycle design of machines and devices is nowadays gaining ground rather quicklyè users want that machines and devices operate with a high level of accuracy and reliability and with as few outages as possible. Thus, by monitoring the condition, not only the presence of changes but also predictions related to the type and size of damage or error jeopardising the high quality of operation during the remaining life cycle of a machine is established.	svn	Zveza strojnih inženirjev in tehnikov Slovenije [et al.] = Association of Mechanical Engineers and Technicians of Slovenia [et al.]	2008	1.01	Strojniški vestnik	0.235	0.986
10418966	Electrohydraulic pressure control by a self-adjusting proportional derivative controller	The main characteristic of an electrohydraulic pump control system is the presence of an electrical signal path. It requires at least one sensor for the controlled value (in this case pressure), delivering feedback to be compared with the electrical or numerical reference in the controller. The additonal expense penalty for the sensor and the valve is offset by the advantage of flexibility in the structure and parameters of the controller in comparison to hydraulic - mechanical concepts. Thus, the transfer response can be adapted to demands, even in the operational state. Sophisticated control structures can be implemented easily in the form of computer or microcontroller programs. The layout of electrohydraulic pressure control discussed in this study includes the presented loading unit. The variable pump is designed to act together with a proportional valve having two metering edges. It is less expensive compared to the design with a synchronizing cylinder and four metering edges. However, only inferior static and dynamic performance can be expected. Hydraulic energy is supplied to the control valve directly from the output port of the pump - with the advantage of simple assembly, as there are no additional components required - but with the drawback that there is influence on the control loop`s properties at every change in the disturbance value or reference. The aim of the study presented in this paper is a more efficient and simple concept compared to other known methods for pressure control of the above mentioned pump including the dynamics of the distribution network, and also the characteristics of the hydraulic load with special focus on improvements in steady state and dynamic behaviour.	usa	Society for Experimental Stress Analysis	2006	1.01	Experimental techniques	0.274	0.741
10419990	Transfer of ink-jet printed textiles for home furnishing into production with rotary screen printing method	In this work, a collection of decorative textiles for home furnishing was designed on a CAD CAM system, printed with an ink-jet printer, and transferredinto production using rotary screen printing. The basic materials used were linen woven fabric and reactive dyes. Colorimetric measurements werecarried out for the samples printed with both printing procedures. The reflectance values, CIELAB colour values and E* colour difference values were obtained and compared using two spectrophotometers. The colour fastness of theprinted fabrics to washing, rubbing and artificial light was determined according to ISO standards. The research shows that an ink-jet printed collection can be transferred to rotary screen printing. The implementation ofan ink-jet printing system in a traditional production process is recommendable for a traditional printer, because the sample collection can be prepared with significant savings in costs and faster turn-around.	pol	Institute of Chemical Fibres	2005	1.01	Fibres & textiles in Eastern Europe	0.397	0.539
10421014	Experimental investigation of optimal timing of the Diesel engine injection pump using biodiesel fuel	This paper discusses the influence of biodiesel on output characteristics of adiesel engine and optimal timing setup for its injection pump. The influence of biodiesel is studied by running experiments on an NA diesel bus engine MAN D2 2566 with a direct-injection M system. The fuel used is biodiesel produced from rapeseed. Special attention is focused on the determination of the optimal injection-pump timing with respect to engine harmful emissions, enginefuel consumption, and other engine performance parameters. These engine characteristics are compared against those obtained using conventional D2 diesel. Experiments with biodiesel and D2 are run on several engine operating regimes. The engine was monitored for possible operation problems and carefully examined after the tests. The results obtained are presented and analyzed. It is shown that with carefully optimized timing of the pump, the harmful emission of NOx, smoke, HC, and CO can be reduced essentially by keeping other engine characteristics within acceptable limits.	nld	The Society	2006	1.01	Energy & fuels	1.519	0.921
10423835	Laser supported optical control of high pressure aluminium cast products	We present a new method for surface quality control of aluminium high pressure cast products. By this method it is aimed to improve efficiently the existing practice of castings being only visually checked for surface defects such as laminations, non-fills and cold shots. The method is based on laser triangulation principle. The measured cloud of points is analysed using software designed specifically for automatic detection of surface defects. The paper describes a measurement system, measuring procedure focussed on the detection of surface defects and the comparison of the results with a visual inspection.	svn	Zveza strojnih inženirjev in tehnikov Slovenije [et al.] = Association of Mechanical Engineers and Technicians of Slovenia [et al.]	2008	1.01	Strojniški vestnik	0.235	0.986
10424347	Optimum selection of information terminals for production monitoring in manufacturing industries	The purpose of automated acquisition of production data in manufacturing industries is aimed to provide accurate data about the performance of the scheduled tasks and the production process. Hence, easier and more effective production control can be achieved. The information acquired includes the duration of each operation, the number of manufactured items of products, the amount of scrap as well as the duration of downtimes and their root-causes. A way to acquire relevant data makes use of special-purpose information terminals. The problem that arises here is how to select the optimum number ofthe terminals in order to minimize the overall losses. The approach presented below relies on optimization of a stochastic criterion function, which combines the terminal costs and costs related to the waiting times during busy sessions. The solution suggested is based on using the distribution of events, recorded during the past production session. A case study dealing with optimum selection of terminals in a real production processis presented in detail.	svn	Zveza strojnih inženirjev in tehnikov Slovenije [et al.] = Association of Mechanical Engineers and Technicians of Slovenia [et al.]	2008	1.02	Strojniški vestnik	0.235	0.986
10426907	Simulation of workpiece forming and centre displacement in plunge centreless grinding	By reducing the set-up time of centreless grinding system, higher process flexibility and productivity can be obtained. This goal is approached by developing a simulation model that assists in efficient centreless grinding system set-up. In this paper, an analytical modelling of plunge centreless grinding is described. The developed model incorporates the workpiece forming mechanism along with workpiece dynamics and facilitates the simulation of workpiece form and its centre displacement. The prototype simulation model hasbeen embedded within a spreadsheet environment and experimentally verified.	usa	Pergamon	2008	1.01	International journal of machine tools & manufacture	1.576	0.905
10427163	Heat transfer evaluation method in complex rotating environments employing IR thermography and CFD	This article presents a measuring method for determination of convective heat transfer in rotating environments. The method is used to obtain temperature and Nusselt number distributions on optically accessible objects inside real operating environments, without the need for implementation of complex surface heat flux measurements. Temperature maps of the observed surfaces are acquired non-intrusively by infrared (IR) thermography, whereas heat flux datais computed numerically by computational fluid dynamics (CFD) tools. The method was employed on a rotating hollow blade, heated internally by secondaryair flow. Experimental and numerical results for the observed blade side are compared in terms of surface temperature 2D distributions. Temperature distributions are further statistically evaluated and show good agreement, which is the basic precondition for combining experimental and numerical data by the method. Results are presented in terms of combined experimental-numerical Nusselt number shown as two-dimensional distribution onthe blade pressure side.	usa	Hemisphere Pub.	2008	1.01	Experimental heat transfer	0.535	0.986
10428443	Optodynamic description of a linear momentum transfer from a laser induced ultrasonic wave to a rod	We present a new optodynamic experimental technique to measure the linear momentum obtained by a rod during a nanosecond laser pulse ablation of the rod's front face on the basis of the displacement due to an ultrasonic wave reflection at its rear end. With the help of a simple theory, we explained the step-like motion of the rod's free end. This theory conforms well with the general shape of the measured displacement history curve. The acquired momentum can be directly estimated by measuring the height of a step from the step-like motion of the rod's end. Measurements based on an arm-compensated Michelson interferometer also enabled us to follow the attenuation of an ultrasonic wave and so to determine the characteristic attenuation time. This quantity plays a major role in the transfer of linear momentum from within the initial ultrasonic wave to the final net uniform motion of the specimen.	deu	Springer	2008	1.01	Applied physics	1.884	1.953
10428505	Average distances in square-cell configurations	A square-cell configuration (""square animal"") is a subgraph of the square lattice in which all inner faces are 4-cycles. We determine explicit expression for the sum ?$(W)$? of the (topological) distances between all pairs of vertices of a square-cell configuration, as well as for the related average distance ?$\overline{W}$?. Such expressions are deduced for several families of symmeytic square-cell configurations. For instance, if ?$O(n)$? stands for the octagonal square-cell configuration with ?$n$? circular levels, then ?$W(O(n)) = (211/5)n^5 - (181/3)n^4 + (109/3)n^3 - (35/3)n^2 + (22/15)n$? and ?$\overline{W}(O(n)) = 2[(7n^2 - 10n + 4)(7n^2 - 10n + 3)]^{-1} W(O(n))$?.	usa	Wiley.	2000	1.01	International journal of quantum chemistry	1.317	1.942
10428694	Computer-aided derivation of the optimal mathematical models to study gear-pair dynamic by using genetic programming	A general problem is addressed to perform optimal identification of the dynamic system automatically, by using genetic programming algorithm (Koza 1992). The main objective of this approach is to derive optimal mathematical model (reliable and accurate) and determine optimal parameter values for generated mathematical model on the basis of measured dynamic response for selected structure that behaves dynamically. A gear-pair dynamic is studied asan example.	nld	Springer	2006	1.01	Structural and Multidisciplinary Optimization	1.019	0.746
10428699	A method for surface quality assessment of die-castings based on laser triangulation	This paper presents a new method for the surface quality assessment of safety-critical die-castings. We have developed a measurement system that measures the surface of a die-casting and provides quantitative surface quality assessment within a die-casting cycle of 70 s. The measurement system,based on the laser triangulation principle, has an asymmetrical measuring range and is capable of high-resolution measurements of the casting surface (0.02 mm). Geometry specific parameters (flatness of the particular surface region, average deviation of the measured points and height of the surface defects) are calculated from the acquired surface data and then checked whether/how they fit within the tolerances specified in a technical documentation. The method has been tested in the laboratory by examination of a sample of castings taken randomly from the production process. A comparison of the results obtained by this method and by a qualified operator has shown good agreement.	gbr	IOP Publishing	2008	1.01	Measurement science & technology	1.493	1.044
1043295	Heat affected zone in surfacing chromium ledeburitic steel	Tools get failured during work; wear is a major factor that contributes to failures. Damaged tools are replaced or filed. This paper describes typical changes that occur in the heat affected zone of tool (HAZ), which was repaired by surfacing with a TIG and with micro-plasma procedure. Microstructure of the steel on the repaired tool was analysed by an optical and scanning electron microscope. The tool was made of chromium ledeburitic steel type W.N. 1.2379 and it was repaired by surfacing steel type W.N. 1.4718. Changes in the HAZ also depend on the type of surfacing. Besides microstructural changes, dissolution of carbides, especially primary carbides. This way the concentration of the carbide-forming elements and carbonis increased in the base around the primary carbides in the HAZ so the result is so-called secondary eutectic or secondary ledeburite.	hrv	Metalurški fakultet;Hrvatsko metalurško društvo	2010	1.01	Metalurgija	0.348	0.709
10438683	Influence of absorption mechanisms on laser-induced plasma plume	In modelling laser-induced plasma plume formation, the proper description of laser absorption in the plasma plays an important role. In the present model, absorption is described by means of three different mechanisms: inverse bremsstrahlung (IB), photoionization (PI) and absorption by small condensed clusters. Numerical solutions of the model are given for KrF laser beam irradiation (wavelength l=248 nm) impinging on a nickel target at various fluences. The influence of particular absorption mechanisms on the absorbed laser beam energy in the plasma plume during the pulse is shown for different fluences. Using all three absorption mechanisms, the calculated plasma properties show good agreement with the experimental results of other authors.	nld	North-Holland	2008	1.01	Applied Surface Science	1.576	1.081
10438939	Improved modelling of the loading spectra using a mixture model approach	In order to perform a fatigue-life analysis of structures the parameters of the structure loading spectra must be assessed. If the load time series are counted using a two-parametric rainflow counting method, the structure loading spectrum provides a probability for the occurrence of a load-cycle with certain amplitude and mean values. It is beneficial for the prediction of the fatigue life to describe the loading spectrum by a continuous function. We have previously discovered that mixtures of Gaussian probability density functions can be used to model the loading spectra. The main problems of this approach that have not been satisfactorily resolved before are related to the estimation of the number of components in the applied mixture models, and to the modelling of the load-cycle distributions with relatively fat tails. In this article, we describe a method for estimating the parameters of mixture models, which allows automatic determination of the number of components in a mixture model. The presented method is applied for modelling simulated and measured loading spectra using mixtures of the multivariate Gaussian or t probability density functions. In the article we also show that the mixture of t probability density functions sometimes better describes the loading spectra than the mixture of Gaussian probability density functions.	gbr	Butterworth Scientific Limited	2008	1.01	International journal of fatigue	1.556	0.986
10444571	Analysis of striation formation mechanism in abrasive water jet cutting	In this paper the macro-mechanism of abrasive water jet (AWJ) cutting is studied from the point of cutting front and striation formation analysis. The striation on the surface cut with AWJ is a characteristic phenomena which is strongly present when cutting with high traverse velocities for particular material type and thickness of workpiece. The connection between the cutting front step formation and striation formation is explained through series of experiments, which include visual observations of cutting transparent material and through analogies, which deal with river meandering and wear of pneumatic conveyor bends.	che	Elsevier	2008	1.01	Wear	1.509	0.986
10444633	Preserving commutativity	Every commutativity preserving linear map on the algebra of all ?$n \times n$? matrices over an algebraically closed field ?$F$? with characteristic 0 is either a Jordan automorphism multiplied by a nonzero constant and perturbed by a scalar type operator, or its image is commutative. The assumption of preserving commutativity can be reformulated as preserving zero Lie products. So, this theorem is an extension of the well-known result on the structure of Lie homomorphisms of matrix algebras. We first prove the result for the special case in which ?$F$? is the complex field and then apply the transfer principle in Model Theoretic Algebra to extend it to the general case.	nld	North-Holland	2001	1.01	Journal of Pure and Applied Algebra	0.428	0.48
